Category,Business,Information,Address 1,Address 2,City,State,Country,Postcode,Landline,Mobile,Fax,Website
1,Hotel Tuli International,"A great 4 star hotel in Nagpur, It's a name synonyms with avant-grade, quality and superior customer 
care services. The ambience of the place is bewitching and fabulous.","37, Farm Land, Central Bazar Road,",Ramdaspeth,819,20,1,440010,1800 209 9050,,0712-6653700,http://tulihotels.com
1,Hotel Hardeo,"Located in city's prime business and shopping hub, Hardeo is the ultimate destination for style and luxury. Along with Hardeo's 20 years of legendary service, luxurious guest rooms, breathtaking architecture and modern and elegant decor; this hotel in Nagpur is ideal for both leisure and business travelers.",Dr. Munje Marg,Sitabuldi,819,20,1,440012,0712-6684888,"09011095872, 09326187008",,http://www.hardeohotel.com
1,The Pride Hotel,"Pride Hotel near Nagpur Airport, is amongst the best 3 star luxury hotel in Nagpur,No reservation costs and trouble.A multi-cuisine restaurants with bar.",Opposite Airport Road,Wardha Road,819,20,1,440025,"0712-2291102, 0712-2291106",,0712-2290440,http://www.pridehotel.com
1,Radisson Blu,"This Nagpur's 4 star hotel offers large guest rooms, suites, three restaurants, Fitness Centre with spa and business services.?The 214 spacious rooms and suites at Radisson Blu Hotel Nagpur, exhibit a distinctive charm.","Shop No 7, Near Coca Cola Factory",Wardha Road,819,20,1,440015,0712-6665888,,0712-6665899,http://www.radissonblu.com
1,Skylark Hotel,"The Skylark Hotel has not been assigned a star rating. Skylark Hotel is located 10 km from the Sonegaon Airport Skylark Hotel has one bar and one restaurant serving indian, chinese, continental cuisines. it also provides basic amenities such as internet,room services,air conditioned room at best prices.","119, Near Gitanjali Cinema, Central Avenue Road",Gandhibagh,819,20,1,440008,"0712-2724654, 0712-2724655",,,
1,Hotel Orient Grand,"The Orient brings together an irresistible and comprehensive range of 
world-class services and facilities that have been specially designed to
 pamper the individual, and satisfy the needs of the most discerning 
guests.Both business and leisure travelers can indulge in the highest level of personalized, yet unobtrusive service.","Plot No-347/348, Padole Corner,","Great Nag Road,
Ashok Chowk",819,20,1,,0712-2707200 / 300 / 400 / 500 / 600,7304330200,,http://www.hotelorientgrand.com
1,Hotel Meghdoot,"Hotel meghdoot is the perfect destination for all types of customer as its affordable room tarrifs makes it available for all.hotel meghdoot provides space for various occasions such as banquets for parties,conference hall for bussiness meetings,restaurants etc.","587, Cotton Market, Ghat Road, Cotton Market,",Ganeshpeth,819,20,1,440008,0712-2721418,9422108621,,
1,Hotel Centre Point,"The mind-blowing experience has been reinforced as the Centre Point 
Hotel has been re-launched to serve you even better. We house 100 of the
 finest rooms that are categorized into Executive Rooms, Executive 
Deluxe rooms, Club Class rooms, Renaissance Suites and Deluxe suites. 
Each offers its own aura of solitude and the impeccable hospitality 
offered by our friendly, professional staff ensures that you can start 
your leisurely stay in nothing short of paradise.  From a wedding 
function to grand events, we have venue and 8 banquet halls to cater up 
to 2000 guests.","24, lokmat, central bazar road",Ramdaspeth,819,20,1,440010,0712-6699146,9763715986,,http://centrepointnagpur.com
1,Hotel The Nagpur Ashok,The Nagpur Ashok Hotel listed under 3 Star Hotels.Nagpur Ashok Hotel is located about 2 km from Nagpur Airport and 6 km from Nagpur Railways Station. The City Market is situated about 5 km from the hotel.,"WHC Road,
Aath Rasta Square, ",Laxmi Nagar,819,20,1,440022,"0712-6888859 , 0712-2240780","08888870722, 08888870717",0712-2235945,http://www.thenagpurashok.com
18,Barbeque Restaurant,,"Mount Road,",Sadar,819,20,1,,,9762553516,,http://www.barbeque-nation.com
18,Subway,,Near VCA ground,Civil Lines,819,20,1,,0712-6616977,,,http://www.subway.co.in
18,Domino's Pizza,,Ravindra Nath Tagore Marg,Sadar,819,20,1,,0712-2521212,,,http://www.dominos.co.in
18,The Kathi Crossing,"Yes, we were heard of railway crossing, railroad crossing, highway crossing, pedestrian, tunnel, river, and even hybrid crossing!

Yes, we were heard of all those crossings and that!

We also were heard of that saying called ‘crossing the line', which generally says a thing or two about being mischievous. Now now, that isn't fair although! If we don't choose to cross the line, how do we get at the other place we wonder! No, don't take it the wrong way. We simply mean the other place where there is a mouth-watering eatery, a grillroom, or a greasy spoon, standing, no - waiting, probably even built just for constant hungriest like us, like us all! (Please, please excuse us for counting ‘you' too in ‘us all'!) We're Humanity lovers, you see; all men are born equal, all men are brothers (all sisters are women), then all men are foodies, etc. ","Near Poonam Chambers, Byramji Town",Rajnagar,819,20,1,,"0712-2520240, 0712-2520245",9403690711,,http://www.thekathicrossing.com
18,Redz,,"Shop No 15 16 17, Vca Complex",Civil Lines,819,20,1,440001,0712-2553978,,,
